title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable aerosol.1hr.sfpm10_tavg-u-hm-u (AERhr.sfpm10),236,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/236,1hr aerosol,sfpm10_tavg-u-hm-u,mass_fraction_of_pm10_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Hourly PM10 Mass Mixing Ratio in Lowest Model Layer,longitude latitude time,1hr,Hourly Surface PM10 Mixing Ratio,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.1hr.sfpm1_tavg-u-hm-u (AERhr.sfpm1),235,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/235,1hr aerosol,sfpm1_tavg-u-hm-u,mass_fraction_of_pm1_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Hourly PM1.0 Mass Mixing Ratio in Lowest Model Layer,longitude latitude time,1hr,Hourly Surface PM1.0 Mixing Ratio,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.mon.o3ref_tavg-l-hxy-u (AERfx.o3refClim),231,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/231,mon aerosol,o3ref_tavg-l-hxy-u,reference_mole_fraction_of_ozone_in_air,Not present,area: areacella,area: time: mean (monthly mean fixed annual cycle),This is the ozone mole fraction that is used in a diagnostic call to the model's radiation scheme. It is only applicable when an ozone double call is active in the model.,longitude latitude alevel timefxc,mon,Fixed Reference Climatology of Mole Fraction of Ozone in Air,aerosol,,Use this when o3ref has a repeating climatological cycle.,mol mol-1,New,,,,,
Variable aerosol.day.so2_tavg-u-hm-u (AERday.so2),220,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/220,day aerosol,so2_tavg-u-hm-u,mole_fraction_of_sulfur_dioxide_in_air,Not present,area: areacella,area: time: mean,Daily mean SO2 volume mixing ratio in lowest model layer,longitude latitude time,day,Surface daily mean SO2,aerosol,,,mol mol-1,New,,,,,
Variable aerosol.day.sfpm25_tavg-u-hm-u (AERday.sfpm25),219,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/219,day aerosol,sfpm25_tavg-u-hm-u,mass_fraction_of_pm2p5_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean PM2.5 mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface PM2.5,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.sfpm10_tavg-u-hm-u (AERday.sfpm10),218,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/218,day aerosol,sfpm10_tavg-u-hm-u,mass_fraction_of_pm10_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean PM10 mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface PM10,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.sfpm1_tavg-u-hm-u (AERday.sfpm1),217,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/217,day aerosol,sfpm1_tavg-u-hm-u,mass_fraction_of_pm1_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean PM1.0 mass mixing ratio in lowest model layer,longitude latitude time,day,Surface daily mean PM1.0,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrss_tavg-u-hm-u (AERday.mmrss),214,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/214,day aerosol,mmrss_tavg-u-hm-u,mass_fraction_of_sea_salt_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean Sea Salt mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface Sea Salt,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrsoa_tavg-u-hm-u (AERday.mmrsoa),213,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/213,day aerosol,mmrsoa_tavg-u-hm-u,mass_fraction_of_secondary_particulate_organic_matter_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean secondary organic aerosol mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface SOA,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrso4_tavg-u-hm-u (AERday.mmrso4),212,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/212,day aerosol,mmrso4_tavg-u-hm-u,mass_fraction_of_sulfate_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean sulfate aerosol mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface sulfate aerosol,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmroa_tavg-u-hm-u (AERday.mmroa),211,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/211,day aerosol,mmroa_tavg-u-hm-u,mass_fraction_of_particulate_organic_matter_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean total organic aerosol mass mixing ratio in lowest model layer,longitude latitude time,day,Total surface organic aerosol,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrno3_tavg-u-hm-u (AERday.mmrno3),210,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/210,day aerosol,mmrno3_tavg-u-hm-u,mass_fraction_of_nitrate_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean NO3 aerosol mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface NO3 aerosol,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrnh4_tavg-u-hm-u (AERday.mmrnh4),209,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/209,day aerosol,mmrnh4_tavg-u-hm-u,mass_fraction_of_ammonium_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean NH4 mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface NH4,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrdust_tavg-u-hm-u (AERday.mmrdust),208,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/208,day aerosol,mmrdust_tavg-u-hm-u,mass_fraction_of_dust_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean dust aerosol mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface dust aerosol,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmrbc_tavg-u-hm-u (AERday.mmrbc),207,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/207,day aerosol,mmrbc_tavg-u-hm-u,mass_fraction_of_elemental_carbon_dry_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean elemental carbon mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface BC,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.mmraerh2o_tavg-u-hm-u (AERday.mmraerh2o),206,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/206,day aerosol,mmraerh2o_tavg-u-hm-u,mass_fraction_of_water_in_ambient_aerosol_particles_in_air,Not present,area: areacella,area: time: mean,Daily mean Aerosol water mass mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface Aerosol water mass mixing ratio in lowest model layer,aerosol,,,kg kg-1,New,,,,,
Variable aerosol.day.co_tavg-u-hm-u (AERday.co),199,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/199,day aerosol,co_tavg-u-hm-u,mole_fraction_of_carbon_monoxide_in_air,Not present,area: areacella,area: time: mean,This is the daily mean for CO volume mixing ratio in lowest model layer,longitude latitude time,day,Daily mean surface CO,aerosol,,,mol mol-1,New,,,,,
