Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile
HadGEM3-GC31,depdust_tavg-u-hxy-u,mon,m01s03i440,3,440,TMONMN,DIAG,UP5
UKESM1,cropFracC4_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,cropFracC4_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,cropFracC3_tavg-u-hxy-u,mon,m01s03i395,3,395,TMONMN,DIAG,UP5
UKESM1,cropFracC3_tavg-u-hxy-u,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,co2_tavg-u-hm-u,mon,m01s00i252,0,252,TMONMN,DALLTH,UP5
UKESM1,co23D_tavg-l-hxy-u,mon,m01s00i252,0,252,TMONMN,DALLTH,UP5
UKESM1,co23D_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UP5
UKESM1,clwmodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
UKESM1,clwmodis_tavg-u-hxy-u,mon,m01s02i452,2,452,TMONMN,DIAG,UP5
HadGEM3-GC31,clwmodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
HadGEM3-GC31,clwmodis_tavg-u-hxy-u,mon,m01s02i452,2,452,TMONMN,DIAG,UP5
UKESM1,cltmodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
UKESM1,cltmodis_tavg-u-hxy-u,mon,m01s02i451,2,451,TMONMN,DIAG,UP5
HadGEM3-GC31,cltmodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
HadGEM3-GC31,cltmodis_tavg-u-hxy-u,mon,m01s02i451,2,451,TMONMN,DIAG,UP5
UKESM1,clmisr_tavg-h16-hxy-air,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
UKESM1,clmisr_tavg-h16-hxy-air,mon,m01s02i360,2,360,TMONMN,DCOSP16x7,UP5
HadGEM3-GC31,clmisr_tavg-h16-hxy-air,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
HadGEM3-GC31,clmisr_tavg-h16-hxy-air,mon,m01s02i360,2,360,TMONMN,DCOSP16x7,UP5
UKESM1,climodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
UKESM1,climodis_tavg-u-hxy-u,mon,m01s02i453,2,453,TMONMN,DIAG,UP5
HadGEM3-GC31,climodis_tavg-u-hxy-u,mon,m01s02i330,2,330,TMONMN,DIAG,UP5
HadGEM3-GC31,climodis_tavg-u-hxy-u,mon,m01s02i453,2,453,TMONMN,DIAG,UP5
UKESM1,cldnvi_tavg-u-hxy-u,mon,m01s01i280,1,280,TMONMN,DIAG,UP5
UKESM1,cldnvi_tavg-u-hxy-u,mon,m01s01i281,1,281,TMONMN,DIAG,UP5
HadGEM3-GC31,cldnvi_tavg-u-hxy-u,mon,m01s01i280,1,280,TMONMN,DIAG,UP5
HadGEM3-GC31,cldnvi_tavg-u-hxy-u,mon,m01s01i281,1,281,TMONMN,DIAG,UP5
UKESM1,cldncl_tavg-u-hxy-cl,mon,m01s01i298,1,298,TMONMN,DIAG,UP5
UKESM1,cldncl_tavg-u-hxy-cl,mon,m01s01i299,1,299,TMONMN,DIAG,UP5
HadGEM3-GC31,cldncl_tavg-u-hxy-cl,mon,m01s01i298,1,298,TMONMN,DIAG,UP5
HadGEM3-GC31,cldncl_tavg-u-hxy-cl,mon,m01s01i299,1,299,TMONMN,DIAG,UP5
UKESM1,clcalipsoliq_tavg-h40-hxy-air,mon,m01s02i325,2,325,TMONMN,DCOSP40H,UP5
UKESM1,clcalipsoliq_tavg-h40-hxy-air,mon,m01s02i473,2,473,TMONMN,DCOSP40H,UP5
HadGEM3-GC31,clcalipsoliq_tavg-h40-hxy-air,mon,m01s02i325,2,325,TMONMN,DCOSP40H,UP5
HadGEM3-GC31,clcalipsoliq_tavg-h40-hxy-air,mon,m01s02i473,2,473,TMONMN,DCOSP40H,UP5
UKESM1,clcalipsoice_tavg-h40-hxy-air,mon,m01s02i325,2,325,TMONMN,DCOSP40H,UP5
UKESM1,clcalipsoice_tavg-h40-hxy-air,mon,m01s02i474,2,474,TMONMN,DCOSP40H,UP5
HadGEM3-GC31,clcalipsoice_tavg-h40-hxy-air,mon,m01s02i325,2,325,TMONMN,DCOSP40H,UP5
HadGEM3-GC31,clcalipsoice_tavg-h40-hxy-air,mon,m01s02i474,2,474,TMONMN,DCOSP40H,UP5
UKESM1,cfadLidarsr532_tavg-h40-hxy-air,mon,m01s02i370,2,370,TMONMN,DCOSPCFL,UP5
HadGEM3-GC31,cfadLidarsr532_tavg-h40-hxy-air,mon,m01s02i370,2,370,TMONMN,DCOSPCFL,UP5
UKESM1,cfadDbze94_tavg-h40-hxy-air,mon,m01s02i372,2,372,TMONMN,DCOSPCFR,UP5
HadGEM3-GC31,cfadDbze94_tavg-h40-hxy-air,mon,m01s02i372,2,372,TMONMN,DCOSPCFR,UP5
UKESM1,cVeg_tavg-u-hxy-tree,mon,m01s19i001,19,001,TMONMN,DPFTS,UP5
UKESM1,cVeg_tavg-u-hxy-tree,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,cVeg_tavg-u-hxy-shb,mon,m01s19i001,19,001,TMONMN,DPFTS,UP5
UKESM1,cVeg_tavg-u-hxy-shb,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,cVegGrass_tavg-u-hxy-ng,mon,m01s19i001,19,001,TMONMN,DPFTS,UP5
UKESM1,cVegGrass_tavg-u-hxy-ng,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,cStem_tavg-u-hxy-lnd,mon,m01s19i028,19,028,TMONMN,DIAG,UP5
UKESM1,cSoil_tavg-u-hxy-lnd,mon,m01s19i016,19,016,TMONMN,DIAG,UP5
UKESM1,cLand_tavg-u-hxy-lnd,mon,m01s19i002,19,002,TMONMN,DIAG,UP5
UKESM1,cLand_tavg-u-hxy-lnd,mon,m01s19i016,19,016,TMONMN,DIAG,UP5
UKESM1,cLand_tavg-u-hxy-lnd,mon,m01s19i032,19,032,TMONMN,DIAG,UP5
UKESM1,cLand_tavg-u-hxy-lnd,mon,m01s19i033,19,033,TMONMN,DIAG,UP5
UKESM1,cLand_tavg-u-hxy-lnd,mon,m01s19i034,19,034,TMONMN,DIAG,UP5
UKESM1,zg_tavg-p39-hy-air,day,m01s30i297,30,297,TDAYMN,PLEV19Z,UP6
UKESM1,zg_tavg-p39-hy-air,day,m01s30i304,30,304,TDAYMN,PLEV19Z,UP6
HadGEM3-GC31,zg_tavg-p39-hy-air,day,m01s30i297,30,297,TDAYMN,PLEV19Z,UP6
HadGEM3-GC31,zg_tavg-p39-hy-air,day,m01s30i304,30,304,TDAYMN,PLEV19Z,UP6
UKESM1,wtem_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
UKESM1,wtem_tavg-p39-hy-air,day,m01s30i311,30,311,TDAYMN,PLEV39,UP6
UKESM1,wtem_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
UKESM1,wtem_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,wtem_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,wtem_tavg-p39-hy-air,day,m01s30i311,30,311,TDAYMN,PLEV39,UP6
HadGEM3-GC31,wtem_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,wtem_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
UKESM1,utendogw_tavg-p39-hy-air,day,m01s06i247,6,247,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,utendogw_tavg-p39-hy-air,day,m01s06i247,6,247,TDAYMN,PLEV39Z,UP6
UKESM1,utendnogw_tavg-p39-hy-air,day,m01s06i115,6,115,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,utendnogw_tavg-p39-hy-air,day,m01s06i115,6,115,TDAYMN,PLEV39Z,UP6
UKESM1,utendepfd_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
UKESM1,utendepfd_tavg-p39-hy-air,day,m01s30i314,30,314,TDAYMN,PLEV39,UP6
UKESM1,utendepfd_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
UKESM1,utendepfd_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,utendepfd_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,utendepfd_tavg-p39-hy-air,day,m01s30i314,30,314,TDAYMN,PLEV39,UP6
HadGEM3-GC31,utendepfd_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,utendepfd_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
UKESM1,ua_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
UKESM1,ua_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
UKESM1,ua_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,ua_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,ua_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,ua_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
UKESM1,ta_tavg-p39-hy-air,day,m01s30i294,30,294,TDAYMN,PLEV19Z,UP6
UKESM1,ta_tavg-p39-hy-air,day,m01s30i304,30,304,TDAYMN,PLEV19Z,UP6
HadGEM3-GC31,ta_tavg-p39-hy-air,day,m01s30i294,30,294,TDAYMN,PLEV19Z,UP6
HadGEM3-GC31,ta_tavg-p39-hy-air,day,m01s30i304,30,304,TDAYMN,PLEV19Z,UP6
UKESM1,epfz_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
UKESM1,epfz_tavg-p39-hy-air,day,m01s30i313,30,313,TDAYMN,PLEV39,UP6
UKESM1,epfz_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
UKESM1,epfz_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfz_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfz_tavg-p39-hy-air,day,m01s30i313,30,313,TDAYMN,PLEV39,UP6
HadGEM3-GC31,epfz_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfz_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
UKESM1,epfy_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
UKESM1,epfy_tavg-p39-hy-air,day,m01s30i312,30,312,TDAYMN,PLEV39,UP6
UKESM1,epfy_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
UKESM1,epfy_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfy_tavg-p39-hy-air,day,m01s30i301,30,301,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfy_tavg-p39-hy-air,day,m01s30i312,30,312,TDAYMN,PLEV39,UP6
HadGEM3-GC31,epfy_tavg-p39-hy-air,day,m01s30i201,30,201,TDAYMN,PLEV39Z,UP6
HadGEM3-GC31,epfy_tavg-p39-hy-air,day,m01s30i202,30,202,TDAYMN,PLEV39Z,UP6
UKESM1,zg_tavg-p19-hxy-air,day,m01s30i297,30,297,TDAYMN,PLEV19,UP6
UKESM1,zg_tavg-p19-hxy-air,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
HadGEM3-GC31,zg_tavg-p19-hxy-air,day,m01s30i297,30,297,TDAYMN,PLEV19,UP6
HadGEM3-GC31,zg_tavg-p19-hxy-air,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
UKESM1,wtd_tavg-u-hxy-lnd,day,m01s08i249,8,249,TDAYMN,DIAG,UP6
HadGEM3-GC31,wtd_tavg-u-hxy-lnd,day,m01s08i249,8,249,TDAYMN,DIAG,UP6
UKESM1,wap_tavg-p19-hxy-u,day,m01s30i298,30,298,TDAYMN,PLEV19,UP6
UKESM1,wap_tavg-p19-hxy-u,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
HadGEM3-GC31,wap_tavg-p19-hxy-u,day,m01s30i298,30,298,TDAYMN,PLEV19,UP6
HadGEM3-GC31,wap_tavg-p19-hxy-u,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
UKESM1,va_tavg-p19-hxy-air,day,m01s30i202,30,202,TDAYMN,PLEV19,UP6
UKESM1,va_tavg-p19-hxy-air,day,m01s30i301,30,301,TDAYMN,PLEV19,UP6
UKESM1,va_tavg-p19-hxy-air,day,m01s30i201,30,201,TDAYMN,PLEV19,UP6
HadGEM3-GC31,va_tavg-p19-hxy-air,day,m01s30i202,30,202,TDAYMN,PLEV19,UP6
HadGEM3-GC31,va_tavg-p19-hxy-air,day,m01s30i301,30,301,TDAYMN,PLEV19,UP6
HadGEM3-GC31,va_tavg-p19-hxy-air,day,m01s30i201,30,201,TDAYMN,PLEV19,UP6
UKESM1,ua_tavg-p19-hxy-air,day,m01s30i201,30,201,TDAYMN,PLEV19,UP6
UKESM1,ua_tavg-p19-hxy-air,day,m01s30i301,30,301,TDAYMN,PLEV19,UP6
UKESM1,ua_tavg-p19-hxy-air,day,m01s30i202,30,202,TDAYMN,PLEV19,UP6
HadGEM3-GC31,ua_tavg-p19-hxy-air,day,m01s30i201,30,201,TDAYMN,PLEV19,UP6
HadGEM3-GC31,ua_tavg-p19-hxy-air,day,m01s30i301,30,301,TDAYMN,PLEV19,UP6
HadGEM3-GC31,ua_tavg-p19-hxy-air,day,m01s30i202,30,202,TDAYMN,PLEV19,UP6
UKESM1,??_tavg-u-hxy-lnd,day,m01s00i024,0,24,TDAYMN,DIAG,UP6
HadGEM3-GC31,??_tavg-u-hxy-lnd,day,m01s00i024,0,24,TDAYMN,DIAG,UP6
UKESM1,tsl_tavg-l-hxy-lnd,day,m01s08i225,8,225,TDAYMN,DSOIL,UP6
HadGEM3-GC31,tsl_tavg-l-hxy-lnd,day,m01s08i225,8,225,TDAYMN,DSOIL,UP6
UKESM1,ts_tavg-u-hxy-u,day,m01s00i024,0,24,TDAYMN,DIAG,UP6
HadGEM3-GC31,ts_tavg-u-hxy-u,day,m01s00i024,0,24,TDAYMN,DIAG,UP6
UKESM1,tdps_tavg-h2m-hxy-u,day,m01s03i250,3,250,TDAYMN,DIAG,UP6
HadGEM3-GC31,tdps_tavg-h2m-hxy-u,day,m01s03i250,3,250,TDAYMN,DIAG,UP6
UKESM1,tauvpbl_tavg-u-hxy-u,day,m01s03i461,3,461,TDAYMN,DIAG,UP6
HadGEM3-GC31,tauvpbl_tavg-u-hxy-u,day,m01s03i461,3,461,TDAYMN,DIAG,UP6
UKESM1,tauv_tavg-u-hxy-u,day,m01s03i461,3,461,TDAYMN,DIAG,UP6
HadGEM3-GC31,tauv_tavg-u-hxy-u,day,m01s03i461,3,461,TDAYMN,DIAG,UP6
UKESM1,tauupbl_tavg-u-hxy-u,day,m01s03i460,3,460,TDAYMN,DIAG,UP6
HadGEM3-GC31,tauupbl_tavg-u-hxy-u,day,m01s03i460,3,460,TDAYMN,DIAG,UP6
UKESM1,tauu_tavg-u-hxy-u,day,m01s03i460,3,460,TDAYMN,DIAG,UP6
HadGEM3-GC31,tauu_tavg-u-hxy-u,day,m01s03i460,3,460,TDAYMN,DIAG,UP6
UKESM1,ta850_tavg-850hPa-hxy-air,day,m01s30i294,30,294,TDAYMN,DP850,UP6
UKESM1,ta850_tavg-850hPa-hxy-air,day,m01s30i304,30,304,TDAYMN,DP850,UP6
HadGEM3-GC31,ta850_tavg-850hPa-hxy-air,day,m01s30i294,30,294,TDAYMN,DP850,UP6
HadGEM3-GC31,ta850_tavg-850hPa-hxy-air,day,m01s30i304,30,304,TDAYMN,DP850,UP6
UKESM1,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,TDAYMN,PLEV19,UP6
UKESM1,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i294,30,294,TDAYMN,PLEV19,UP6
HadGEM3-GC31,ta_tavg-p19-hxy-air,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
UKESM1,snm_tavg-u-hxy-lnd,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
UKESM1,snm_tavg-u-hxy-lnd,day,m01s08i237,8,237,TDAYMN,DTILE,UP6
HadGEM3-GC31,snm_tavg-u-hxy-lnd,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
HadGEM3-GC31,snm_tavg-u-hxy-lnd,day,m01s08i237,8,237,TDAYMN,DTILE,UP6
UKESM1,snd_tavg-u-hxy-lnd,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
UKESM1,snd_tavg-u-hxy-lnd,day,m01s08i376,8,376,TDAYMN,DTILE,UP6
HadGEM3-GC31,snd_tavg-u-hxy-lnd,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
HadGEM3-GC31,snd_tavg-u-hxy-lnd,day,m01s08i376,8,376,TDAYMN,DTILE,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s01i298,1,298,TDAYMN,DIAG,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s01i299,1,299,TDAYMN,DIAG,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s02i308,2,308,TDAYMN,DALLTH,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s02i309,2,309,TDAYMN,DALLTH,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
UKESM1,scldncl_tavg-u-hxy-scl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s01i298,1,298,TDAYMN,DIAG,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s01i299,1,299,TDAYMN,DIAG,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s02i308,2,308,TDAYMN,DALLTH,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s02i309,2,309,TDAYMN,DALLTH,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
HadGEM3-GC31,scldncl_tavg-u-hxy-scl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
UKESM1,sbl_tavg-u-hxy-u,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
UKESM1,sbl_tavg-u-hxy-u,day,m01s03i331,3,331,TDAYMN,DTILE,UP6
UKESM1,sbl_tavg-u-hxy-u,day,m01s03i395,3,395,TDAYMN,DIAG,UP6
HadGEM3-GC31,sbl_tavg-u-hxy-u,day,m01s03i317,3,317,TDAYMN,DTILE,UP6
HadGEM3-GC31,sbl_tavg-u-hxy-u,day,m01s03i331,3,331,TDAYMN,DTILE,UP6
HadGEM3-GC31,sbl_tavg-u-hxy-u,day,m01s03i395,3,395,TDAYMN,DIAG,UP6
UKESM1,rsdsdiff_tavg-u-hxy-u,day,m01s01i216,1,216,TDAYMN,DIAG,UP6
HadGEM3-GC31,rsdsdiff_tavg-u-hxy-u,day,m01s01i216,1,216,TDAYMN,DIAG,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s01i245,1,245,TDAYMN,DIAG,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s01i246,1,246,TDAYMN,DIAG,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s02i308,2,308,TDAYMN,DALLTH,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s02i309,2,309,TDAYMN,DALLTH,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
UKESM1,reffsclwtop_tavg-u-hxy-scl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s01i245,1,245,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s01i246,1,246,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s02i308,2,308,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s02i309,2,309,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffsclwtop_tavg-u-hxy-scl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s01i245,1,245,TDAYMN,DIAG,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s01i246,1,246,TDAYMN,DIAG,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
UKESM1,reffcclwtop_tavg-u-hxy-ccl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s00i407,0,407,TDAYMN,DALLRHP1,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s00i409,0,409,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s01i245,1,245,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s01i246,1,246,TDAYMN,DIAG,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s02i318,2,318,TDAYMN,DALLTH,UP6
HadGEM3-GC31,reffcclwtop_tavg-u-hxy-ccl,day,m01s02i319,2,319,TDAYMN,DALLTH,UP6
UKESM1,prw_tavg-u-hxy-u,day,m01s30i461,30,461,TDAYMN,DIAG,UP6
HadGEM3-GC31,prw_tavg-u-hxy-u,day,m01s30i461,30,461,TDAYMN,DIAG,UP6
UKESM1,parasolRefl_tavg-u-hxy-sea,day,m01s02i348,2,348,TDAYMN,DCOSP5SZA,UP6
HadGEM3-GC31,parasolRefl_tavg-u-hxy-sea,day,m01s02i348,2,348,TDAYMN,DCOSP5SZA,UP6
UKESM1,mrsol_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsol_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
UKESM1,mrsll_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
UKESM1,mrsll_tavg-l-hxy-lnd,day,m01s08i229,8,229,TDAYMN,DSOIL,UP6
UKESM1,mrsll_tavg-l-hxy-lnd,day,m01s08i230,8,230,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,day,m01s08i229,8,229,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsll_tavg-l-hxy-lnd,day,m01s08i230,8,230,TDAYMN,DSOIL,UP6
UKESM1,mrsfl_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
UKESM1,mrsfl_tavg-l-hxy-lnd,day,m01s08i229,8,229,TDAYMN,DSOIL,UP6
UKESM1,mrsfl_tavg-l-hxy-lnd,day,m01s08i230,8,230,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,day,m01s08i223,8,223,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,day,m01s08i229,8,229,TDAYMN,DSOIL,UP6
HadGEM3-GC31,mrsfl_tavg-l-hxy-lnd,day,m01s08i230,8,230,TDAYMN,DSOIL,UP6
UKESM1,mrros_tavg-u-hxy-lnd,day,m01s08i234,8,234,TDAYMN,DIAG,UP6
HadGEM3-GC31,mrros_tavg-u-hxy-lnd,day,m01s08i234,8,234,TDAYMN,DIAG,UP6
UKESM1,mrrob_tavg-u-hxy-lnd,day,m01s08i235,8,235,TDAYMN,DIAG,UP6
HadGEM3-GC31,mrrob_tavg-u-hxy-lnd,day,m01s08i235,8,235,TDAYMN,DIAG,UP6
UKESM1,loadss_tavg-u-hxy-u,day,m01s38i539,38,539,TDAYMN,DIAG,UP6
UKESM1,loadso4_tavg-u-hxy-u,day,m01s38i520,38,520,TDAYMN,DIAG,UP6
UKESM1,loadoa_tavg-u-hxy-u,day,m01s38i531,38,531,TDAYMN,DIAG,UP6
UKESM1,loaddust_tavg-u-hxy-u,day,m01s17i257,17,257,TDAYMN,DALLTH,UP6
UKESM1,loaddust_tavg-u-hxy-u,day,m01s50i255,50,255,TDAYMN,DALLTH,UP6
HadGEM3-GC31,loaddust_tavg-u-hxy-u,day,m01s17i257,17,257,TDAYMN,DALLTH,UP6
HadGEM3-GC31,loaddust_tavg-u-hxy-u,day,m01s50i255,50,255,TDAYMN,DALLTH,UP6
UKESM1,loadbc_tavg-u-hxy-u,day,m01s38i525,38,525,TDAYMN,DIAG,UP6
UKESM1,hus_tavg-p19-hxy-u,day,m01s30i295,30,295,TDAYMN,PLEV19,UP6
UKESM1,hus_tavg-p19-hxy-u,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
HadGEM3-GC31,hus_tavg-p19-hxy-u,day,m01s30i295,30,295,TDAYMN,PLEV19,UP6
HadGEM3-GC31,hus_tavg-p19-hxy-u,day,m01s30i304,30,304,TDAYMN,PLEV19,UP6
UKESM1,hursmin_tstat-h2m-hxy-crp,day,m01s03i245,3,245,TDAYMIN,DIAG,UP6
