Model,Branded variable name,Frequency,STASH,Section,Item,time_profile,domain_profile,usage_profile
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s01i181,1,181,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s02i161,2,161,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s02i181,2,181,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s03i181,3,181,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s03i189,3,189,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s04i141,4,141,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s04i181,4,181,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s05i161,5,161,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntscp_tavg-l-hxy-u,mon,m01s05i181,5,181,TMONMN,DALLTH,UPU
UKESM1,tntrscs_tavg-l-hxy-u,mon,m01s01i233,1,233,TMONMN,DALLTH,UPU
UKESM1,tntrscs_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
HadGEM3-GC31,tntrscs_tavg-l-hxy-u,mon,m01s01i233,1,233,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntrscs_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
UKESM1,tntrlcs_tavg-l-hxy-u,mon,m01s02i233,2,233,TMONMN,DALLTH,UPU
UKESM1,tntrlcs_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
HadGEM3-GC31,tntrlcs_tavg-l-hxy-u,mon,m01s02i233,2,233,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntrlcs_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
UKESM1,tntpbl_tavg-l-hxy-u,mon,m01s03i189,3,189,TMONMN,DALLTH,UPU
UKESM1,tntpbl_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
HadGEM3-GC31,tntpbl_tavg-l-hxy-u,mon,m01s03i189,3,189,TMONMN,DALLTH,UPU
HadGEM3-GC31,tntpbl_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s01i182,1,182,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s02i182,2,182,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s03i182,3,182,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s03i190,3,190,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s04i142,4,142,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s04i182,4,182,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s05i162,5,162,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s05i182,5,182,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s16i162,16,162,TMONMN,DALLTH,UPU
UKESM1,tnhusscp_tavg-l-hxy-u,mon,m01s16i182,16,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s01i182,1,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s02i182,2,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s03i182,3,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s03i190,3,190,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s04i142,4,142,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s04i182,4,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s05i162,5,162,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s05i182,5,182,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s16i162,16,162,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhusscp_tavg-l-hxy-u,mon,m01s16i182,16,182,TMONMN,DALLTH,UPU
UKESM1,tnhuspbl_tavg-l-hxy-u,mon,m01s03i190,3,190,TMONMN,DALLTH,UPU
UKESM1,tnhuspbl_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
HadGEM3-GC31,tnhuspbl_tavg-l-hxy-u,mon,m01s03i190,3,190,TMONMN,DALLTH,UPU
HadGEM3-GC31,tnhuspbl_tavg-l-hxy-u,mon,m01s00i033,0,33,TMONMN,DIAG,UPU
UKESM1,tdps_tavg-h2m-hxy-u,mon,m01s03i250,3,250,TMONMN,DIAG,UP5
HadGEM3-GC31,tdps_tavg-h2m-hxy-u,mon,m01s03i250,3,250,TMONMN,DIAG,UP5
UKESM1,tas_tavg-h2m-hxy-lus,mon,m01s03i236,3,236,TMONMN,DIAG,UP5
UKESM1,tas_tavg-h2m-hxy-lus,mon,m01s19i013,19,013,TMONMN,DTILE,UP5
UKESM1,sweLut_tavg-u-hxy-lus,mon,m01s03i317,3,317,TMONMN,DTILE,UP5
UKESM1,sweLut_tavg-u-hxy-lus,mon,m01s08i236,8,236,TMONMN,DTILE,UP5
HadGEM3-GC31,sweLut_tavg-u-hxy-lus,mon,m01s03i317,3,317,TMONMN,DTILE,UP5
HadGEM3-GC31,sweLut_tavg-u-hxy-lus,mon,m01s08i236,8,236,TMONMN,DTILE,UP5
UKESM1,sfcWindmax_tstat-h10m-hxy-u,mon,m01s03i230,3,230,TDAYMAX,DIAG,UP6
HadGEM3-GC31,sfcWindmax_tstat-h10m-hxy-u,mon,m01s03i230,3,230,TDAYMAX,DIAG,UP6
UKESM1,rss_tavg-u-hxy-u,mon,m01s01i201,1,201,TMONMN,DIAG,UP5
HadGEM3-GC31,rss_tavg-u-hxy-u,mon,m01s01i201,1,201,TMONMN,DIAG,UP5
UKESM1,rls_tavg-u-hxy-u,mon,m01s02i201,2,201,TMONMN,DIAG,UP5
UKESM1,rls_tavg-u-hxy-u,mon,m01s02i205,2,205,TMONMN,DIAG,UP5
UKESM1,rls_tavg-u-hxy-u,mon,m01s03i332,3,332,TMONMN,DIAG,UP5
