title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable land.mon.?_tavg-u-hxy-is (Emon.rsdsis),1003,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1003,mon land,?_tavg-u-hxy-is,surface_downwelling_shortwave_flux_in_air,Not present,area: areacella,area: time: mean where ice_sheet,"Surface Downwelling Shortwave Radiation over the ice-sheet covered portion of a grid cell, including snow. Can be used for computation of surface albedo.",longitude latitude time,mon,Surface Downwelling Shortwave Radiation over Ice Sheets,land,down,"other than the different rule for spatial averaging, the variable is equivalent to Amon.rsds.",W m-2,New,,,,,
Variable land.mon.cnc_tavg-u-hxy-u (Emon.cnc),870,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/870,mon land,cnc_tavg-u-hxy-u,vegetation_area_fraction,Not present,area: areacella,area: mean where land time: mean,Canopy covered fraction,longitude latitude time,mon,Canopy Covered Area Percentage,land,,,%,New,,,,,
Variable land.mon.albsn_tavg-u-hxy-sn (Emon.albsn),834,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/834,mon land,albsn_tavg-u-hxy-sn,surface_albedo,Not present,area: areacella area: areacello,area: time: mean where snow (mask=snc),"This is similar to Eday.albsn, but providing monthly averages",longitude latitude time,mon,Snow Albedo,land,,,1,New,,,,,
Variable land.mon.albc_tavg-u-hxy-veg (Emon.albc),833,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/833,mon land,albc_tavg-u-hxy-veg,canopy_albedo,Not present,area: areacella,area: mean where land time: mean,Canopy Albedo,longitude latitude time,mon,Canopy Albedo,land,,,1,New,,,,,
Variable land.day.rhVgt_tavg-u-hxy-lus (Eday.rhVgt),772,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/772,day land,rhVgt_tavg-u-hxy-lus,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,Not present,area: areacella,area: time: mean where sector,"Carbon mass flux per unit area into atmosphere due to heterotrophic respiration on land (respiration by consumers), calculated on vegetation type.",longitude latitude vegtype time,day,Heterotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,kg m-2 s-1,New,,,,,
Variable land.day.raVgt_tavg-u-hxy-lnd (Eday.raVgt),769,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/769,day land,raVgt_tavg-u-hxy-lnd,surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,Not present,area: areacella,area: time: mean where sector,Carbon mass flux per unit area into atmosphere due to autotrophic respiration on land (respiration by producers) [see rh for heterotrophic production]. Calculated on vegetation type.,longitude latitude vegtype time,day,Autotrophic Respiration on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,kg m-2 s-1,New,,,,,
Variable land.day.nppVgt_tavg-u-hxy-lus (Eday.nppVgt),758,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/758,day land,nppVgt_tavg-u-hxy-lus,net_primary_productivity_of_biomass_expressed_as_carbon,Not present,area: areacella,area: time: mean where sector,"""Production of carbon"" means the production of biomass expressed as the mass of carbon which it contains. Net primary production is the excess of gross primary production (rate of synthesis of biomass from inorganic precursors) by autotrophs (""producers""), for example, photosynthesis in plants or phytoplankton, over the rate at which the autotrophs themselves respire some of this biomass. ""Productivity"" means production per unit area. The phrase ""expressed_as"" is used in the construction A_expressed_as_B, where B is a chemical constituent of A. It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A.",longitude latitude vegtype time,day,Net Primary Production on Vegetation type as Carbon Mass Flux [kgC m-2 s-1],land,,,kg m-2 s-1,New,,,,,
Variable land.day.mrsol_tavg-z1m-hxy-lnd (Eday.mrso10),754,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/754,day land,mrsol_tavg-z1m-hxy-lnd,mass_content_of_water_in_soil_layer,Not present,area: areacella,area: mean where land time: mean,Soil moisture in the top 10 cm of the soil column,longitude latitude time sdepth10,day,mrso10,land,,only provided for land locations,kg m-2,New,,,,,
Variable land.day.mrro_tavg-u-hxy-lnd (Eday.mrro),749,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/749,day land,mrro_tavg-u-hxy-lnd,runoff_flux,Not present,area: areacella,area: time: mean,The total run-off (including drainage through the base of the soil model) per unit area leaving the land portion of the grid cell.,longitude latitude time,day,Total Runoff,land,,,kg m-2 s-1,New,,,,,
Variable land.day.lai_tavg-u-hxy-lus (Eday.laiVgt),737,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/737,day land,lai_tavg-u-hxy-lus,leaf_area_index,Not present,area: areacella,area: time: mean where sector,A ratio obtained by dividing the total upper leaf surface area of vegetation by the (horizontal) surface area of the land on which it grows.,longitude latitude vegtype time,day,Leaf Area Index on Vegetation type,land,,,1,New,,,,,
