title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Model units
Variable ocnBgchem.day.phycnano_tavg-u-hxy-sea (Oday.phycnano),1333,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1333,day ocnBgchem,phycnano_tavg-u-hxy-sea,mole_concentration_of_nanophytoplankton_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Mole Concentration of Nanophytoplankton Expressed as Carbon in Sea Water,longitude latitude time,day,Carbon concentration of nanophytoplankton,ocnBgchem,,Analogous to Oday.phyc,mol m-3,New,,,,,
Variable ocnBgchem.day.phycmisc_tavg-u-hxy-sea (Oday.phycmisc),1332,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1332,day ocnBgchem,phycmisc_tavg-u-hxy-sea,mole_concentration_of_miscellaneous_phytoplankton_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,longitude latitude time,day,Carbon concentration of miscellaneous phytoplankton,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.phycdiaz_tavg-u-hxy-sea (Oday.phycdiaz),1331,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1331,day ocnBgchem,phycdiaz_tavg-u-hxy-sea,mole_concentration_of_diazotrophic_phytoplankton_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,longitude latitude time,day,Carbon concentration of diazotrophs,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.phycdiat_tavg-u-hxy-sea (Oday.phycdiat),1330,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1330,day ocnBgchem,phycdiat_tavg-u-hxy-sea,mole_concentration_of_diatoms_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,longitude latitude time,day,Carbon concentration of diatoms,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.phycalc_tavg-l-hxy-sea (Oday.phycalc),1329,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1329,day ocnBgchem,phycalc_tavg-l-hxy-sea,mole_concentration_of_calcareous_phytoplankton_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,longitude latitude olevel time,day,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,ocnBgchem,,"""Tracer"" concentrations should be reported even if they are diagnosed rather than prognostically calculated.",mol m-3,New,,,,,
Variable ocnBgchem.day.phyc_tavg-u-hxy-sea (Oday.phyc200),1328,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1328,day ocnBgchem,phyc_tavg-u-hxy-sea,mole_concentration_of_phytoplankton_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: time: mean,"sum of phytoplankton carbon component concentrations. In most (all?) cases this is the sum of phycdiat and phycmisc (i.e., ""Diatom Carbon Concentration"" and ""Non-Diatom Phytoplankton Carbon Concentration""",longitude latitude time op20bar,day,Phytoplankton Carbon Concentration,ocnBgchem,,The variable at the depth of 200 meters is requested,mol m-3,New,,,,,
Variable ocnBgchem.day.ph_tavg-z0m-hxy-sea (Oday.phos),1327,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1327,day ocnBgchem,ph_tavg-z0m-hxy-sea,sea_water_ph_reported_on_total_scale,Not present,area: areacello,area: mean where sea time: mean,Near surface negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,longitude latitude time,day,Surface pH,ocnBgchem,,,1,New,,,,,
Variable ocnBgchem.day.ph_tavg-u-hxy-sea (Oday.ph200),1326,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1326,day ocnBgchem,ph_tavg-u-hxy-sea,sea_water_ph_reported_on_total_scale,Not present,area: areacello,area: time: mean,negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1.,longitude latitude time op20bar,day,pH,ocnBgchem,,The variable at the depth of 200 meters is requested.,1,New,,,,,
Variable ocnBgchem.day.o2_tavg-u-hm-sea (Oday.o2os),1325,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1325,day ocnBgchem,o2_tavg-u-hm-sea,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,"Near surface 'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for molecular oxygen is O2.",longitude latitude time,day,Surface Dissolved Oxygen Concentration,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.o2min_tavg-u-hxy-sea (Oday.o2min),1324,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1324,day ocnBgchem,o2min_tavg-u-hxy-sea,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_at_shallowest_local_minimum_in_vertical_profile,Not present,area: areacello,area: mean where sea time: mean,mole concentration of oxygen at the local minimum in the concentration profile that occurs closest to the sea surface.,longitude latitude time,day,Oxygen Minimum Concentration,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.o2_tavg-u-hxy-sea (Oday.o2200),1323,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1323,day ocnBgchem,o2_tavg-u-hxy-sea,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,Not present,area: areacello,area: time: mean,"'Mole concentration' means number of moles per unit volume, also called ""molarity"", and is used in the construction mole_concentration_of_X_in_Y, where X is a material constituent of Y. A chemical or biological species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'.",longitude latitude time op20bar,day,Dissolved Oxygen Concentration at 200 meters,ocnBgchem,,The variable at the depth of 200 meters is requested.,mol m-3,New,,,,,
Variable ocnBgchem.day.intpp_tavg-u-hxy-sea (Oday.intpp),1321,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1321,day ocnBgchem,intpp_tavg-u-hxy-sea,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,Not present,area: areacello,area: mean where sea depth: sum where sea time: mean,"Vertically integrated total primary (organic carbon) production by phytoplankton. This should equal the sum of intpdiat+intpphymisc, but those individual components may be unavailable in some models.",longitude latitude time,day,Primary Organic Carbon Production by All Types of Phytoplankton,ocnBgchem,,,mol m-2 s-1,New,,,,,
Variable ocnBgchem.day.intpoc_tavg-u-hxy-sea (Oday.intpoc),1320,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1320,day ocnBgchem,intpoc_tavg-u-hxy-sea,ocean_mass_content_of_particulate_organic_matter_expressed_as_carbon,Not present,area: areacello,area: mean where sea depth: sum where sea time: mean,Vertically integrated POC,longitude latitude time,day,Particulate Organic Carbon Content,ocnBgchem,,,kg m-2,New,,,,,
Variable ocnBgchem.day.expcob_tavg-u-hxy-sea (Oday.expcob),1317,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1317,day ocnBgchem,expcob_tavg-u-hxy-sea,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Downward sinking flux of particulate organic carbon at seafloor. Reported at the sea floor depth for present day relative to z=0 geoid. Reported as missing for land grid cells.,longitude latitude depthseafloor time,day,Sinking Flux of Particulate Organic Carbon Reaching the Ocean Bottom,ocnBgchem,down,,mol m-2 s-1,New,,,,,
Variable ocnBgchem.day.dissoc_tavg-l-hxy-sea (Oday.dissoc),1316,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1316,day ocnBgchem,dissoc_tavg-l-hxy-sea,mole_concentration_of_dissolved_organic_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,Sum of dissolved carbon component concentrations explicitly represented (i.e. not ~40 uM refractory unless explicit),longitude latitude olevel time,day,Dissolved Organic Carbon Concentration,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.detoc_tavg-l-hxy-sea (Oday.detoc),1315,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1315,day ocnBgchem,detoc_tavg-l-hxy-sea,mole_concentration_of_organic_detritus_expressed_as_carbon_in_sea_water,Not present,area: areacello volume: volcello,area: mean where sea time: mean,sum of detrital organic carbon component concentrations,longitude latitude olevel time,day,Detrital Organic Carbon Concentration,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.co3satarag_tavg-u-hm-sea (Oday.co3sataragos),1314,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1314,day ocnBgchem,co3satarag_tavg-u-hm-sea,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,longitude latitude time,day,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.co3satarag_tavg-u-hxy-sea (Oday.co3satarag200),1313,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1313,day ocnBgchem,co3satarag_tavg-u-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_at_equilibrium_with_pure_aragonite_in_sea_water,Not present,area: areacello,area: time: mean,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3) for sea water in equilibrium with pure Aragonite. Aragonite (CaCO3) is a mineral that is a polymorph of calcium carbonate.,longitude latitude time op20bar,day,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,ocnBgchem,,The variable at the depth of 200 meters is requested.,mol m-3,New,,,,,
Variable ocnBgchem.day.co3_tavg-u-hm-sea (Oday.co3os),1312,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1312,day ocnBgchem,co3_tavg-u-hm-sea,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: mean where sea time: mean,Near surface mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,longitude latitude time,day,Surface Carbonate Ion Concentration,ocnBgchem,,,mol m-3,New,,,,,
Variable ocnBgchem.day.co3_tavg-u-hxy-sea (Oday.co3200),1311,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1311,day ocnBgchem,co3_tavg-u-hxy-sea,mole_concentration_of_carbonate_expressed_as_carbon_in_sea_water,Not present,area: areacello,area: time: mean,Mole concentration (number of moles per unit volume: molarity) of the carbonate anion (CO3).,longitude latitude time op20bar,day,Carbonate Ion Concentration,ocnBgchem,,The variable at the depth of 200 meters is requested.,mol m-3,New,,,,,
Variable ocnBgchem.day.chl_tavg-u-hxy-sea (Oday.chl200),1309,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/1309,day ocnBgchem,chl_tavg-u-hxy-sea,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,Not present,area: areacello,area: time: mean,"Sum of chlorophyll from all phytoplankton group concentrations. In most models this is equal to chldiat+chlmisc, that is the sum of Diatom Chlorophyll Mass Concentration and Other Phytoplankton Chlorophyll Mass Concentration",longitude latitude time op20bar,day,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water at 200 meters,ocnBgchem,,The variable at the depth of 200 meters is requested.,kg m-3,New,,,,,
